KEY,en,notes,sp,fr,de,it,pt-br,zh,ja
EVENT_DEADRAT_NAME,Dead Rat,udpated ✔️,Rata muerta,Rat mort,Tote Ratte,Ratto Morto,Rato Morto,死老鼠,デッドラット
EVENT_DEADRAT_QUES,"{catname} finds a dead rat...

Stench from the corpse fills {his} nose, a powerful but intriguing smell.",,"{catname} encuentra una rata muerta.

El hedor del cadáver le llena la nariz de un olor pungente pero intrigante.","{catname} trouve un rat mort...

La puanteur du cadavre lui emplit les narines. C'est une odeur forte, mais intrigante.","{catname} findet eine tote Ratte&nbsp;…

Der Gestank der Leiche steigt in {his}e Nase&nbsp;… Streng, aber faszinierend.",,"{catname} encontra um rato morto...

O mau cheiro do cadáver preenche seu nariz. Um odor poderoso, porém intrigante.","{catname} 发现了一只死老鼠…

尸体散发出的臭味充斥着 {his} 的鼻子，那是一种强烈但又引人入胜的气味。","{catname}は死んだネズミを見つけた...

死体からの悪臭が{his}の鼻を満たし、強烈だが興味をそそる匂いだ。"
EVENT_DEADRAT_QUES_M,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere gli riempie il naso: un odore tanto potente quanto intrigante.",,,
EVENT_DEADRAT_QUES_F,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere le riempie il naso: un odore tanto potente quanto intrigante.",,,
EVENT_DEADRAT_QUES_N,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere riempie il suo naso: un odore tanto potente quanto intrigante.",,,
EVENT_DEADRAT_REW1,"{catname} decimates the corpse!

Tiny screams can be heard as nearby rats scamper away in fear!",,"¡{catname} hace trizas el cadáver!

Se oyen los chillidos de ratas cercanas que se escabullen despavoridas.","{catname} massacre le cadavre&nbsp;!

Les rats alentour s'enfuient en poussant de petits cris de peur&nbsp;!","{catname} zerfetzt die Leiche!

Etliche quiekende Schreie ertönen in der Nähe und alle Ratten im Umkreis fliehen vor Angst!","{catname} distrugge il cadavere!

Si sentono piccole urla mentre i vicini ratti sgattaiolano via in preda alla paura!","{catname} estraçalha o cadáver!

Pequenos gritos podem ser ouvidos à medida que ratos próximos fogem apavorados!","{catname} 将尸体彻底击溃！

附近老鼠的尖叫声隐约可闻，它们害怕地四处逃窜！","{catname}が死体を粉々にする！

小さな悲鳴が聞こえ、近くのネズミたちが恐怖で逃げ出す！"
EVENT_DEADRAT_REW1_M,,,,,,,,,
EVENT_DEADRAT_REW1_F,,,,,,,,,
EVENT_DEADRAT_REW1_N,,,,,,,,,
EVENT_DEADRAT_REW2,"{catname} rips the body apart!

Among the remains {he} sees something interesting...
",,"¡{catname} despedaza el cuerpo!

Entre los restos ve algo interesante...
","{catname} éventre le cadavre&nbsp;!

Parmi les restes, {he} ne remarque rien d'intéressant...","{catname} reißt die Leiche auseinander!

In den Überresten findet {he} etwas&nbsp;…
","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...","{catname} destrói o corpo!

Entre os restos, havia algo interessante...","{catname} 撕碎了尸体！

在残骸中，{he} 发现了有趣的东西…",{catname}が体を引き裂く！ 残骸の中に{he}は何か興味深いものを見つける...
EVENT_DEADRAT_REW2_M,,,,,,,,,
EVENT_DEADRAT_REW2_F,,,,,,,,,
EVENT_DEADRAT_REW2_N,"{catname} rips the body apart!

Among the remains they see something interesting...",,"¡{catname} despedaza el cuerpo!

Entre los restos ve algo interesante...",,"{catname} reißt die Leiche auseinander!

In den Überresten ist etwas verborgen&nbsp;…","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...",,"{catname} 撕碎了尸体！

在残骸中，他们发现了有趣的东西…","{catname}が体を引き裂く！

残骸の中に興味深いものを見つける..."
EVENT_DEADRAT_REW3,"{catname} smashes the rat corpse, tearing it limb from limb!

From around {him}, {catname} hears chittering through the walls as angry rats prepare to ambush!",,"¡{catname} destroza el cadáver de la rata y lo descuartiza!

Oye a través de las paredes de su alrededor los chillidos de ratas enfurecidas que se preparan para atacar.","{catname} frappe violemment le cadavre du rat, le démembrant de part en part&nbsp;!

Tout autour, {he} entend des couinements dans les murs. Des rats en colère s'apprêtent à prendre {catname} en embuscade&nbsp;!","{catname} schlägt auf die Rattenleiche ein und reißt ihr alle Gliedmaßen aus!

Plötzlich hört {he} wütendes Schnattern, das aus den Wänden zu dringen scheint. Die Ratten bereiten einen Angriff vor!","{catname} colpisce il corpo del ratto, smembrandolo!

{catname} sente attraverso le mura il chiacchiericcio dei ratti furibondi che preparano un'imboscata nelle vicinanze!","{catname} destrói o corpo, arrancando membro a membro!
{catname} ouve sons pelas paredes ao redor enquanto ratos furiosos preparam uma emboscada!","{catname} 猛烈地砸碎了老鼠尸体，将其肢解开来！

周围的墙壁间传来窸窣声，愤怒的老鼠们正准备埋伏！","{catname}はネズミの死体を叩き潰し、四肢を引き裂く！

{him}の周りから、怒ったネズミたちが待ち伏せの準備をしながら壁を通してチューチューという音が聞こえてくる！"
EVENT_DEADRAT_REW3_M,,,,,,,,,
EVENT_DEADRAT_REW3_F,,,,,,,,,
EVENT_DEADRAT_REW3_N,,,,,,,,,
EVENT_DEADRAT_REW4,"With a surprising fervor, {catname} rips apart the poor dead rat, scattering its remains across the room!

The other cats look on in shock at the extremely violent action!
",,"Con un fervor sorprendente, {catname} despedaza la pobre rata muerta y esparce sus restos por el lugar.

¡Los otros gatos contemplan estupefactos esta muestra de violencia extrema!
","Avec une ferveur des plus surprenantes, {catname} déchiquette le pauvre rat mort, répandant ses entrailles un peu partout dans la pièce&nbsp;!

Les autres chats assistent avec stupéfaction à l'extrême violence de son acte&nbsp;!","{catname} ist überraschend begeistert, die arme tote Ratte auseinanderzureißen und verstreut ihre Überreste im ganzen Zimmer!

Die anderen Katzen sehen dem grausamen Schauspiel entsetzt zu!
","Con un fervore sorprendente, {catname} smembra il povero ratto morto, spargendo i suoi resti per la stanza!

Gli altri gatti guardano sconvolti quest'azione di estrema violenza.","Com um fervor surpreendente, {catname} destrói o pobre rato morto, espalhando seus restos pelo cômodo!

Os outros gatos observam em choque a ação de violência extrema!","出乎意料的热情，{catname} 撕碎了可怜的死老鼠，将其残骸散落整个房间！

其他猫都震惊地看着这一极其暴力的举动！","驚くべき勢いで、{catname}はかわいそうな死んだネズミを引き裂き、その残骸を部屋中にまき散らします！

他の猫たちは、その非常に暴力的な行動にショックを受けて見つめています。"
EVENT_DEADRAT_REW4_M,,,,,,,,,
EVENT_DEADRAT_REW4_F,,,,,,,,,
EVENT_DEADRAT_REW4_N,,,,,,,,,
EVENT_DEADRAT_REW5,"{catname} rips apart the rat's plump body, devouring the tough but delicious flesh!

Satisfied, {catname} saves some for later.
",,"{catname} despedaza el rechoncho cuerpo de la rata y devora su carne dura pero deliciosa.

Tras saciarse, guarda un poco para más tarde.
","{catname} éventre le corps bien gras du rat et dévore sa chair coriace, mais délicieuse&nbsp;!

L'appétit satisfait, {catname} en garde un peu pour plus tard.","{catname} reißt den leblosen Rattenkörper auseinander und verzehrt ihr zähes, aber schmackhaftes Fleisch!

Zufrieden hebt sich {catname} noch etwas für später auf.
",,"{catname} despedaça o corpo rechonchudo do rato, devorando a carne dura, porém deliciosa!

Com satisfação, {catname} guarda um pouco para mais tarde.","{catname} 撕开老鼠圆滚滚的身体，吞食着结实却美味的肉！

满足后，{catname} 留下一些以备后用。","{catname}はネズミのふくよかな体を引き裂き、硬いが美味しい肉をむさぼり食べる！

満足した{catname}は、後で食べるために少し残しておく。"
EVENT_DEADRAT_REW5_M,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Soddisfatto, {catname} ne mette da parte un po'.",,,
EVENT_DEADRAT_REW5_F,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Soddisfatta, {catname} ne mette da parte un po'.",,,
EVENT_DEADRAT_REW5_N,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Con lo stomaco pieno, {catname} ne mette da parte un po'.",,,
EVENT_DEADRAT_REW6,"{catname} opens {his} mouth and swallows the rat whole! {He} starts to feel a little funny...

{catname} lets out a startled meow as {his} body mutates into a new shape!",,"¡{catname} abre la boca y se traga la rata entera! Empieza a tener una sensación extraña...

{catname} suelta un maullido de sobresalto ¡y su cuerpo muta y adopta una nueva forma!","{catname} ouvre la bouche et avale le rat tout rond&nbsp;! {He} se sent un peu étrange...

{catname} laisse s'échapper un miaulement d'étonnement avant que son corps ne se mette à muter et prendre une nouvelle forme&nbsp;!","{catname} öffnet {his}en Mund und schluckt die Ratte im Ganzen herunter! {He} fühlt sich auf einmal ganz komisch&nbsp;…

{catname} miaut überrascht, als {his} Körper plötzlich mutiert und eine neue Form annimmt!",,"{catname} abre a boca e engole o rato inteiro, mas começa a sentir algo estranho...

{catname} solta um miado assustado enquanto seu corpo se transforma em uma nova forma!","{catname} 张开嘴，一口吞下了整只老鼠！{He} 开始感到有些奇怪…

{catname} 发出惊讶的喵叫声，自己的身体变形了！","{catname}は口を開けてネズミを丸ごと飲み込みます！{he}は少し変な感じがし始めます...

{catname}は驚いたように鳴き声を上げ、{his}の体が新しい形に変異します！"
EVENT_DEADRAT_REW6_M,,,,,,"{catname} apre la bocca e ingoia il ratto in un boccone! Comincia però a sentirsi un po' strano...

{catname} emette un miagolio sbigottito mentre il suo corpo muta in una nuova forma!",,,
