KEY,en,notes,sp,fr,de,it,pt-br,zh,ja
//weapons,,,,,,,,,
ITEM_22RIFLE_NAME,.22 Rifle,,Fusil calibre 22,Carabine .22,Kleinkaliber,Fucile .22,Rifle .22,.22 步枪,.22ライフル
ITEM_22RIFLE_DESC,Use: Fire a shot anywhere within your line of sight.,,Uso: Dispara un proyectil a cualquier parte del campo visual.,Utilisation&nbsp;: tire sur n'importe quelle cible dans votre ligne de mire.,Benutzen: Schieße auf ein Ziel in deiner Sichtlinie.,Uso: Spari un colpo in qualsiasi punto entro il tuo campo visivo.,Uso: realize um disparo em qualquer lugar dentro do seu campo de visão.,"使用：
在你的视线范围内的任何地方射击一次。
","使用: 視界内の任意の場所に向
けて射撃します。"
ITEM_ALIENBLASTER_NAME,Alien Blaster,,Desintegrador extraterrestre,Flingue extraterrestre,Alienblaster,Blaster Alieno,Blaster Alienígena,外星爆能枪,エイリアンブラスター
ITEM_ALIENBLASTER_DESC,Use: A laser attack. Gains +1 damage for the rest of the battle each time it's used.,,Uso: Lanza un ataque láser. Obtiene +1 de daño durante el resto del combate cada vez que se dispara.,Utilisation&nbsp;: une attaque laser. Dégâts +1&nbsp;à chaque utilisation durant ce combat.,"Benutzen: Ein Laserangriff. Erhält für den Rest des Kampfes jedes Mal +1&nbsp;Schaden, wenn er benutzt wird.",Uso: Un attacco laser. Ottieni +1 al Danno per il resto della battaglia ogni volta che viene utilizzato.,Uso: um ataque a laser. Obtém +1 de dano pelo resto da batalha a cada vez que for usada.,"使用：激光攻击。每次使用后，
在本次战斗中获得+1伤害。","使用: レーザー攻撃。使用する
たびに、この戦闘中のダメージが
+1増加します。"
ITEM_ALIENTECH_NAME,Alien Tech,,Tecnología extraterrestre,Technologie extraterrestre,Alientechnologie,Tecnologia Aliena,Tecnologia Alienígena,外星科技,エイリアンテック
ITEM_ALIENTECH_DESC,"Use: Target an area. Unleash a hyper beam attack in that area at the start of your next turn.
[s:.7](Usable once per battle.)[/s]",,"Uso: Marca como objetivo una zona y lanza un ataque con hiperrayo al inicio del siguiente turno.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: lance une énorme attaque laser sur la zone sélectionnée au début de votre prochain tour.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Wähle einen Zielbereich. Entfessle am Anfang deines nächsten Zuges einen Hyperstrahlangriff in diesem Bereich.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Seleziona un'area bersaglio. Scateni un attacco a iper-raggio in quell'area all'inizio del tuo prossimo turno.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: mire em uma área. Libere um ataque de hiper raio nessa área no início do seu próximo turno.
[s:.7](Um uso por batalha.)[/s]","使用：目标一个区域。
在下一回合开始时在该区域释放超级光束攻击。

[s:.7](每场战斗可使用一次。)[/s]","使用: エリアを指定します。次
のターンの開始時に、そのエリア
にハイパービーム攻撃を放ちます
。  
[s:.7]（戦闘中に一度だけ使用可能です
。）[/s]"
ITEM_AMERICANFLAG_NAME,American Flag,,Barras y estrellas,Drapeau états-unien,Amerikaflagge,Bandiera Americana,Bandeira Americana,美利坚旗帜,星条旗
ITEM_AMERICANFLAG_DESC,"Use: Force a unit to attack one of its enemies.
[s:.7](Usable once per battle.)[/s]",,"Uso: Obliga a una unidad a atacar a uno de los enemigos.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: contraint une unité à attaquer un de ses ennemis.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Zwinge eine Einheit, einen ihrer Gegner anzugreifen.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Costringi un'unità ad attaccare uno dei suoi nemici.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: force uma unidade a atacar um de seus inimigos.
[s:.7](Um uso por batalha.)[/s]","使用：
强制一个单位攻击它的一个敌人。

[s:.7](每场战斗可使用一次。)[/s]","使用: ユニットに敵の1体を攻
撃させる。  
[s:.7]（戦闘ごとに1回使用可能）[/s]"
ITEM_ANARCHISTCOOKBOOK_NAME,Anarchist Cookbook,,Recetario anarquista,B.a.-ba de l'anarchiste,Anarchist Cookbook,Ricettario Anarchico,Manual Anarquista,无政府主义者手册,アナーキストの料理本
